posting_id,title_clean,employer,city,contract_type,posted_date,source,seniority,description_raw,description_clean,skills_extracted,cluster_id,cluster_name,num_skills
LI-MUN-20240609-001,Werkstudent Data Analytics,MAN SE,Munich,Werkstudent,2024-06-09,LinkedIn,Junior,"MAN SE in Munich is seeking a Werkstudent Data Analytics (m/w/d).
Your profile:
- FastAPI
- Pandas and NumPy
- NumPy
- SQL and database querying
- applied machine learning
- PyTorch
- scikit-learn for ML

We offer:
- Flexible hours for your studies
- Modern office in Munich
- Remote/hybrid options
","Join MAN SE as a Werkstudent Data Analytics in Munich.
Your profile:
- FastAPI
- Pandas and NumPy
- NumPy
- SQL and database querying
- applied machine learning
- PyTorch
- scikit-learn for ML

We offer:
- Flexible hours for your studies
- Modern office in Munich
- Remote/hybrid options
",FastAPI; Pandas; NumPy; SQL; Machine Learning; PyTorch; Scikit-learn,3,ML & Research,7
IND-ESS-20250318-001,Analytics Engineer,E.ON SE,Essen,Full-time,2025-03-18,Indeed Germany,Mid,"Join E.ON SE as a Analytics Engineer in Essen.
Your profile:
- Python for data analysis
- Pandas and NumPy
- Kubeflow
- Git version control
- NumPy
- SQL and database querying
- Jupyter

We offer:
- Competitive salary and bonus
- Modern office in Essen
- Remote/hybrid options
","Join E.ON SE as a Analytics Engineer in Essen.
Your profile:
- Python for data analysis
- Pandas and NumPy
- Kubeflow
- Git version control
- NumPy
- SQL and database querying
- Jupyter

We offer:
- Competitive salary and bonus
- Modern office in Essen
- Remote/hybrid options
",Python; Kubeflow; Git; NumPy; SQL; Jupyter; Machine Learning; Streamlit; Scikit-learn; Docker,3,ML & Research,10
IND-MUN-20250323-002,Analytics Engineer,ProSiebenSat.1 Media SE,Munich,Full-time,2025-03-23,Indeed Germany,Mid,"ProSiebenSat.1 Media SE in Munich is hiring a Analytics Engineer (m/w/d).
Your profile:
- FastAPI
- Python for data analysis
- Pandas and NumPy
- BigQuery
- TensorFlow deep learning
- NumPy
- SQL and database querying

We offer:
- Competitive salary and bonus
- Modern office in Munich
- Remote/hybrid options
","ProSiebenSat.1 Media SE in Munich is hiring a Analytics Engineer (m/w/d).
Your profile:
- FastAPI
- Python for data analysis
- Pandas and NumPy
- BigQuery
- TensorFlow deep learning
- NumPy
- SQL and database querying

We offer:
- Competitive salary and bonus
- Modern office in Munich
- Remote/hybrid options
",FastAPI; Python; Pandas; BigQuery; TensorFlow; NumPy; SQL; Jupyter; Machine Learning; PyTorch; MLflow,3,ML & Research,11
LI-STU-20240110-001,Praktikant Data Science,Porsche AG,Stuttgart,Werkstudent,2024-01-10,LinkedIn,Junior,"Join Porsche AG as a Praktikant Data Science in Stuttgart.
Your profile:
- Power BI dashboards and reports
- NumPy
- SQL and database querying
- Jupyter

We offer:
- Flexible hours for your studies
- Modern office in Stuttgart
- Remote/hybrid options
","Porsche AG offers a Praktikant Data Science position for motivated students in Stuttgart.
Your profile:
- Power BI dashboards and reports
- NumPy
- SQL and database querying
- Jupyter

We offer:
- Flexible hours for your studies
- Modern office in Stuttgart
- Remote/hybrid options
",Power BI; NumPy; SQL; Jupyter; Excel,1,Core Analytics & Student Entry,5
SS-MUN-20240517-001,ML Engineer,Allianz SE,Munich,Full-time,2024-05-17,StepStone,Mid,"Join Allianz SE as a ML Engineer in Munich.
Your profile:
- Python for data analysis
- Advanced Excel (Pivot, Power Query)
- Power BI dashboards and reports
- SQL and database querying
- Jupyter
- R

We offer:
- Competitive salary and bonus
- Modern office in Munich
- Remote/hybrid options
","Allianz SE seeks an experienced ML Engineer in Munich.
Your profile:
- Python for data analysis
- Advanced Excel (Pivot, Power Query)
- Power BI dashboards and reports
- SQL and database querying
- Jupyter
- R

We offer:
- Competitive salary and bonus
- Modern office in Munich
- Remote/hybrid options
",Python; Excel; Power BI; SQL; Jupyter; R,1,Core Analytics & Student Entry,6
IND-COL-20240625-001,Werkstudent Machine Learning,Lanxess AG,Cologne,Werkstudent,2024-06-25,Indeed Germany,Junior,"Lanxess AG in Cologne is seeking a Werkstudent Machine Learning (m/w/d).
Your profile:
- Python for data analysis
- Matplotlib
- Power BI dashboards and reports
- TensorFlow deep learning
- Git version control
- NumPy
- SQL and database querying

We offer:
- Flexible hours for your studies
- Modern office in Cologne
- Remote/hybrid options
","Lanxess AG in Cologne is seeking a Werkstudent Machine Learning (m/w/d).
Your profile:
- Python for data analysis
- Matplotlib
- Power BI dashboards and reports
- TensorFlow deep learning
- Git version control
- NumPy
- SQL and database querying

We offer:
- Flexible hours for your studies
- Modern office in Cologne
- Remote/hybrid options
",Python; Matplotlib; Power BI; TensorFlow; Git; NumPy; SQL; Jupyter; Machine Learning; PyTorch; MLflow; Scikit-learn; Seaborn; GCP,3,ML & Research,14
SS-FRA-20240629-001,Senior Data Analyst,Commerzbank AG,Frankfurt,Full-time,2024-06-29,StepStone,Senior,"Commerzbank AG seeks an experienced Senior Data Analyst in Frankfurt.
Your profile:
- Python for data analysis
- Pandas and NumPy
- Matplotlib
- TensorFlow deep learning
- Git version control
- NumPy
- SQL and database querying

We offer:
- Competitive salary and bonus
- Modern office in Frankfurt
- Remote/hybrid options
","Join Commerzbank AG as a Senior Data Analyst in Frankfurt.
Your profile:
- Python for data analysis
- Pandas and NumPy
- Matplotlib
- TensorFlow deep learning
- Git version control
- NumPy
- SQL and database querying

We offer:
- Competitive salary and bonus
- Modern office in Frankfurt
- Remote/hybrid options
",Python; Pandas; Matplotlib; TensorFlow; Git; NumPy; SQL; Jupyter; Machine Learning; PyTorch; MLflow; Azure,3,ML & Research,12
IND-FRA-20241117-001,Analytics Engineer,Commerzbank AG,Frankfurt,Full-time,2024-11-17,Indeed Germany,Mid,"Commerzbank AG in Frankfurt is hiring a Analytics Engineer (m/w/d).
Your profile:
- FastAPI
- Python for data analysis
- Pandas and NumPy
- Matplotlib
- Git version control
- NumPy
- SQL and database querying

We offer:
- Competitive salary and bonus
- Modern office in Frankfurt
- Remote/hybrid options
","Commerzbank AG seeks an experienced Analytics Engineer in Frankfurt.
Your profile:
- FastAPI
- Python for data analysis
- Pandas and NumPy
- Matplotlib
- Git version control
- NumPy
- SQL and database querying

We offer:
- Competitive salary and bonus
- Modern office in Frankfurt
- Remote/hybrid options
",FastAPI; Python; Pandas; Matplotlib; Git; NumPy; SQL; Machine Learning; PyTorch; MLflow; R; Excel,3,ML & Research,12
LI-MUN-20241118-001,Praktikant Data Analyst,Flixbus GmbH,Munich,Praktikum,2024-11-18,LinkedIn,Junior,"Flixbus GmbH in Munich is seeking a Praktikant Data Analyst (m/w/d).
Your profile:
- Python for data analysis
- GCP
- Pandas and NumPy
- Git version control
- SQL and database querying
- Jupyter
- AWS cloud services

We offer:
- Flexible hours for your studies
- Modern office in Munich
- Remote/hybrid options
","Flixbus GmbH offers a Praktikant Data Analyst position for motivated students in Munich.
Your profile:
- Python for data analysis
- GCP
- Pandas and NumPy
- Git version control
- SQL and database querying
- Jupyter
- AWS cloud services

We offer:
- Flexible hours for your studies
- Modern office in Munich
- Remote/hybrid options
",Python; GCP; Pandas; Git; SQL; Jupyter; AWS; R; Excel; Power BI; Azure,1,Core Analytics & Student Entry,11
IND-BER-20240409-001,Senior Data Engineer,GetYourGuide GmbH,Berlin,Full-time,2024-04-09,Indeed Germany,Senior,"GetYourGuide GmbH seeks an experienced Senior Data Engineer in Berlin.
Your profile:
- Python for data analysis
- GCP
- Advanced Excel (Pivot, Power Query)
- Power BI dashboards and reports
- Git version control
- NumPy
- SQL and database querying

We offer:
- Competitive salary and bonus
- Modern office in Berlin
- Remote/hybrid options
","GetYourGuide GmbH in Berlin is hiring a Senior Data Engineer (m/w/d).
Your profile:
- Python for data analysis
- GCP
- Advanced Excel (Pivot, Power Query)
- Power BI dashboards and reports
- Git version control
- NumPy
- SQL and database querying

We offer:
- Competitive salary and bonus
- Modern office in Berlin
- Remote/hybrid options
",Python; GCP; Excel; Power BI; NumPy; SQL; Tableau,1,Core Analytics & Student Entry,7
SS-FRA-20240430-001,Freelance BI Consultant,Fraport AG,Frankfurt,Freelance/Contract,2024-04-30,StepStone,Mid,"Fraport AG in Frankfurt is hiring a Freelance BI Consultant (m/w/d).
Your profile:
- Python for data analysis
- Git version control
- Microsoft Azure cloud services
- Apache Airflow orchestration
- Apache Spark / PySpark
- Terraform IaC
- Docker containerisation

We offer:
- Competitive salary and bonus
- Modern office in Frankfurt
- Remote/hybrid options
","Fraport AG seeks an experienced Freelance BI Consultant in Frankfurt.
Your profile:
- Python for data analysis
- Git version control
- Microsoft Azure cloud services
- Apache Airflow orchestration
- Apache Spark / PySpark
- Terraform IaC
- Docker containerisation

We offer:
- Competitive salary and bonus
- Modern office in Frankfurt
- Remote/hybrid options
",Python; Git; Azure; Airflow; Spark; Terraform; Docker; dbt; AWS; GCP,2,Cloud Data Engineering,10
LI-BER-20241215-001,Werkstudent BI,Axel Springer SE,Berlin,Werkstudent,2024-12-15,LinkedIn,Junior,"Axel Springer SE offers a Werkstudent BI position for motivated students in Berlin.
Your profile:
- Python for data analysis
- Pandas and NumPy
- Git version control
- SQL and database querying
- Jupyter

We offer:
- Flexible hours for your studies
- Modern office in Berlin
- Remote/hybrid options
","Axel Springer SE in Berlin is seeking a Werkstudent BI (m/w/d).
Your profile:
- Python for data analysis
- Pandas and NumPy
- Git version control
- SQL and database querying
- Jupyter

We offer:
- Flexible hours for your studies
- Modern office in Berlin
- Remote/hybrid options
",Python; Git; SQL; Jupyter; Excel; Azure,1,Core Analytics & Student Entry,6
SS-BER-20250326-001,Praktikant Data Science,Babbel GmbH,Berlin,Praktikum,2025-03-26,StepStone,Junior,"Babbel GmbH in Berlin is seeking a Praktikant Data Science (m/w/d).
Your profile:
- Python for data analysis
- Advanced Excel (Pivot, Power Query)
- Power BI dashboards and reports
- Git version control
- NumPy
- SQL and database querying
- applied machine learning

We offer:
- Flexible hours for your studies
- Modern office in Berlin
- Remote/hybrid options
","Join Babbel GmbH as a Praktikant Data Science in Berlin.
Your profile:
- Python for data analysis
- Advanced Excel (Pivot, Power Query)
- Power BI dashboards and reports
- Git version control
- NumPy
- SQL and database querying
- applied machine learning

We offer:
- Flexible hours for your studies
- Modern office in Berlin
- Remote/hybrid options
",Python; Excel; Power BI; Git; NumPy; SQL; Machine Learning; Tableau,1,Core Analytics & Student Entry,8
IND-BER-20240226-001,Praktikant Data Science,Wolt GmbH,Berlin,Praktikum,2024-02-26,Indeed Germany,Junior,"Join Wolt GmbH as a Praktikant Data Science in Berlin.
Your profile:
- Python for data analysis
- Advanced Excel (Pivot, Power Query)
- Microsoft Azure cloud services
- NumPy
- SQL and database querying
- applied machine learning
- Seaborn

We offer:
- Flexible hours for your studies
- Modern office in Berlin
- Remote/hybrid options
","Wolt GmbH in Berlin is seeking a Praktikant Data Science (m/w/d).
Your profile:
- Python for data analysis
- Advanced Excel (Pivot, Power Query)
- Microsoft Azure cloud services
- NumPy
- SQL and database querying
- applied machine learning
- Seaborn

We offer:
- Flexible hours for your studies
- Modern office in Berlin
- Remote/hybrid options
",Python; Excel; Azure; NumPy; SQL; Machine Learning; Seaborn; Tableau; Power BI,1,Core Analytics & Student Entry,9
SS-DOR-20240711-001,Data Scientist,Vonovia SE,Dortmund,Full-time,2024-07-11,StepStone,Mid,"Vonovia SE in Dortmund is hiring a Data Scientist (m/w/d).
Your profile:
- Pandas and NumPy
- Matplotlib
- Power BI dashboards and reports
- Git version control
- NumPy
- SQL and database querying
- Jupyter

We offer:
- Competitive salary and bonus
- Modern office in Dortmund
- Remote/hybrid options
","Vonovia SE in Dortmund is hiring a Data Scientist (m/w/d).
Your profile:
- Pandas and NumPy
- Matplotlib
- Power BI dashboards and reports
- Git version control
- NumPy
- SQL and database querying
- Jupyter

We offer:
- Competitive salary and bonus
- Modern office in Dortmund
- Remote/hybrid options
",Matplotlib; Power BI; Git; NumPy; SQL; Jupyter; Machine Learning; PyTorch; Scikit-learn; R; Seaborn; Docker,3,ML & Research,12
IND-DOR-20250107-001,Data Architect,Haribo GmbH,Dortmund,Full-time,2025-01-07,Indeed Germany,Senior,"Join Haribo GmbH as a Data Architect in Dortmund.
Your profile:
- Python for data analysis
- Pandas and NumPy
- Advanced Excel (Pivot, Power Query)
- Power BI dashboards and reports
- NumPy
- SQL and database querying
- Jupyter

We offer:
- Competitive salary and bonus
- Modern office in Dortmund
- Remote/hybrid options
","Haribo GmbH in Dortmund is hiring a Data Architect (m/w/d).
Your profile:
- Python for data analysis
- Pandas and NumPy
- Advanced Excel (Pivot, Power Query)
- Power BI dashboards and reports
- NumPy
- SQL and database querying
- Jupyter

We offer:
- Competitive salary and bonus
- Modern office in Dortmund
- Remote/hybrid options
",Python; Pandas; Excel; Power BI; NumPy; SQL; Jupyter; Streamlit; Tableau; Looker,1,Core Analytics & Student Entry,10
